full_vector_test#.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.267, Time: 4.033049 s
         2764173 function calls (2733146 primitive calls) in 12.278 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      290    0.001    0.000    0.019    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
        1    0.000    0.000    0.019    0.019 pathlib.py:1(<module>)
      226    0.001    0.000    0.019    0.000 _parser.py:98(closegroup)
     4685    0.013    0.000    0.019    0.000 _parser.py:176(append)
       64    0.001    0.000    0.019    0.000 util.py:450(replaced_by_pep8)
       15    0.000    0.000    0.018    0.001 core.py:1770(__or__)
        4    0.000    0.000    0.018    0.005 axis.py:761(_set_scale)
        1    0.000    0.000    0.018    0.018 _tripcolor.py:1(<module>)
        1    0.000    0.000    0.018    0.018 _methods.py:1(<module>)
        4    0.000    0.000    0.018    0.005 scale.py:120(set_default_locators_and_formatters)
        1    0.000    0.000    0.018    0.018 _parser.py:1(<module>)
        1    0.000    0.000    0.018    0.018 texmanager.py:1(<module>)
       15    0.000    0.000    0.018    0.001 core.py:4838(__init__)
       16    0.005    0.000    0.018    0.001 {method 'addAction' of 'PySide6.QtWidgets.QWidget' objects}
      118    0.001    0.000    0.018    0.000 font_manager.py:556(wrapper)
   274/19    0.002    0.000    0.018    0.001 ast.py:403(visit)
        3    0.000    0.000    0.018    0.006 exceptions.py:1(<module>)
     59/7    0.001    0.000    0.018    0.003 core.py:4325(leave_whitespace)
   129/61    0.001    0.000    0.018    0.000 core.py:4422(copy)
   274/19    0.005    0.000    0.018    0.001 ast.py:409(generic_visit)
 1977/381    0.006    0.000    0.017    0.000 <frozen abc>:121(__subclasscheck__)
       60    0.004    0.000    0.017    0.000 lines.py:686(recache)
     7567    0.017    0.000    0.017    0.000 {method 'expandtabs' of 'str' objects}
